Этап,Специальность,Что делает на объекте,Типовые документы и допуски,Как проверить,Запросы для поиска,Ориентир по рынку (СПб/ЛО),Что уточнить у компании
2. Металлоконструкции (каркасы корпусов),"Машинист крана (автокран, гусеничный, башенный)",Подъём и монтаж конструкций и оборудования,Удостоверение машиниста крана нужного вида; для автокрана — права кат. «C»,Документы; на кранах какой грузоподъёмности работал,машинист автокрана; крановщик; машинист гусеничного крана,нет данных — уточнить,Краны компании или аренда с экипажем
2. Металлоконструкции (каркасы корпусов),Такелажник,Перемещение и установка тяжёлого оборудования и конструкций,Удостоверение стропальщика; опыт такелажных работ,С каким оборудованием работал,такелажник,нет данных — уточнить,Понадобится при монтаже технологического оборудования
2. Металлоконструкции (каркасы корпусов),Газорезчик,Резка металла,Удостоверение газорезчика,Фото удостоверения,газорезчик,нет данных — уточнить,
2. Металлоконструкции (каркасы корпусов),Маляр по антикоррозийной защите / огнезащите,Окраска и огнезащита металлоконструкций,"Опыт АКЗ, работа с аппаратами безвоздушного нанесения; допуск к работам на высоте","Объекты, на которых работал",маляр АКЗ; маляр металлоконструкций; огнезащита металлоконструкций,нет данных — уточнить,Огнезащиту выполняет организация с лицензией МЧС — кто её делает
"3. Стены, кровля, ворота",Монтажник сэндвич-панелей,"Монтаж стеновых и кровельных сэндвич-панелей, доборных элементов",Допуск к работам на высоте; опыт на промышленных зданиях; работа с подъёмниками,"Фото объектов; вопросы по технологии (крепёж, уплотнение, доборы)",монтажник сэндвич-панелей; монтаж сэндвич панелей бригада,нет данных — уточнить,Часто бригады со своим инструментом; оплата за м²
"3. Стены, кровля, ворота",Кровельщик (профлист / ПВХ-мембрана),"Устройство кровли, примыканий, водостоков",Допуск к работам на высоте; для мембраны — опыт сварки горячим воздухом,"Фото объектов, пробный участок",кровельщик промышленных кровель; кровельщик мембрана ПВХ,нет данных — уточнить,Тип кровли по проекту
"3. Стены, кровля, ворота",Промышленный альпинист,"Работы на высоте без лесов и подъёмников (фасады, герметизация)",Удостоверение о допуске к работам на высоте с применением систем канатного доступа,"Удостоверение, своё снаряжение",промышленный альпинист; промальп,нет данных — уточнить,"Нужен, если нет подъёмников/лесов"
"3. Стены, кровля, ворота","Монтажник ворот, окон и дверей","Установка секционных и откатных ворот, окон, дверей",Опыт монтажа; допуск к работам на высоте,Объекты в опыте,монтажник ворот; монтажник секционных ворот; монтажник окон,нет данных — уточнить,Часто монтирует поставщик — уточнить
"4. Бетон, полы, общестрой",Бетонщик промышленных полов,"Бетонные полы с упрочнённым верхним слоем (топпинг), затирка","Опыт промышленных полов, работа с затирочными машинами","Объекты, пробная карта",бетонщик полов; промышленные полы; топпинг,нет данных — уточнить,Бетонщиков уже нашли — делают ли они и полы
"4. Бетон, полы, общестрой",Арматурщик / опалубщик,"Вязка арматуры, установка опалубки","Свидетельство о профессии (разряд), опыт",Пробная смена,арматурщик; опалубщик,нет данных — уточнить,"Возможно, уже закрыто бетонной бригадой"
"4. Бетон, полы, общестрой",Каменщик,"Кладка стен и перегородок (блок, кирпич)",Свидетельство о профессии (разряд 3–5),Пробная кладка,каменщик,нет данных — уточнить,"Есть ли кладочные работы (АБК, КПП, вспомогательные здания)"
"4. Бетон, полы, общестрой",Плотник,"Временные сооружения, опалубка, ограждения",Опыт,Пробная смена,плотник на стройку,нет данных — уточнить,
"4. Бетон, полы, общестрой",Отделочник,"Отделка АБК: гипсокартон, штукатурка, плитка, покраска",Опыт,Фото работ,отделочник; штукатур; плиточник; монтажник ГКЛ,нет данных — уточнить,Нужен на поздних этапах
5. Внутренние инженерные системы,Электромонтажник,"Прокладка кабеля, лотки, щиты, освещение, заземление","Группа по электробезопасности (для самостоятельной работы — обычно III и выше), разряд; допуск к работам на высоте",Удостоверение по электробезопасности; опыт на промышленных объектах,электромонтажник; электромонтажник промышленных объектов,нет данных — уточнить,Электромонтаж делаете сами или субподрядом
5. Внутренние инженерные системы,Монтажник кабельных линий (кабельщик),"Прокладка кабельных линий 0,4–10 кВ, монтаж муфт","Группа по электробезопасности (III–IV), опыт монтажа муфт","Опыт, удостоверения",кабельщик; монтажник кабельных линий; кабельщик-спайщик,нет данных — уточнить,
5. Внутренние инженерные системы,Монтажник слаботочных систем,"Пожарная сигнализация и оповещение, видеонаблюдение, СКУД, сети",Опыт; группа по электробезопасности; исполнитель пожарных систем — организация с лицензией МЧС,Опыт по объектам,монтажник слаботочных систем; монтажник ОПС,нет данных — уточнить,Обычно специализированный субподрядчик
5. Внутренние инженерные системы,Монтажник вентиляции (ОВиК),"Воздуховоды, вентустановки, кондиционирование, аспирация",Допуск к работам на высоте; опыт промышленной вентиляции,Опыт по объектам,монтажник вентиляции; монтажник ОВиК,нет данных — уточнить,Для сортировочного корпуса вентиляция — крупный раздел
5. Внутренние инженерные системы,"Сантехник / монтажник водоснабжения, канализации, отопления","Внутренние водопровод, канализация, отопление","Опыт; сварка полипропилена/ПНД, резьбовые соединения",Пробное задание,монтажник систем водоснабжения; сантехник промышленный; монтажник отопления,нет данных — уточнить,
5. Внутренние инженерные системы,Монтажник систем пожаротушения,"Спринклерные и дренчерные системы, противопожарный водопровод",Опыт; исполнитель — организация с лицензией МЧС,Опыт по объектам,монтажник пожаротушения; монтажник АУПТ,нет данных — уточнить,Обычно специализированный субподрядчик
5. Внутренние инженерные системы,Электромонтажник-наладчик / наладчик КИПиА,Пусконаладка электрики и автоматики,"Группа по электробезопасности IV–V, опыт пусконаладки",Опыт,электромонтажник-наладчик; наладчик КИПиА; инженер ПНР,нет данных — уточнить,Нужен на финальном этапе
6. Наружные сети,"Монтажник наружных сетей (водопровод, канализация, ливнёвка)","Укладка труб, колодцы, врезки",Опыт; удостоверение стропальщика,Опыт по сетям,монтажник наружных сетей; монтажник НВК; трубоукладчик,нет данных — уточнить,
6. Наружные сети,Сварщик полиэтиленовых труб,Сварка ПЭ-труб встык и электромуфтами,Обучение/удостоверение; если требует проект — аттестация НАКС на сварку полимерных труб,"Протоколы, пробный стык",сварщик ПНД; сварщик полиэтиленовых труб,нет данных — уточнить,Нужна ли аттестация НАКС
6. Наружные сети,Бригада ГНБ (горизонтально-направленное бурение),Бестраншейная прокладка сетей,Организация со своей установкой ГНБ,Портфолио объектов,ГНБ; прокол; горизонтальное бурение,нет данных — уточнить,Обычно субподряд с техникой
7. Технологическое оборудование,Слесарь-монтажник технологического оборудования,"Монтаж конвейеров, сортировочных линий, прессов, дробилок, сепараторов",Разряд 4–6; удостоверение стропальщика; допуск к работам на высоте; чтение чертежей,Опыт монтажа линий; вопросы по выверке и центровке,слесарь-монтажник; монтажник технологического оборудования; монтажник конвейеров,нет данных — уточнить,Монтирует поставщик оборудования (шеф-монтаж) или ваши люди
7. Технологическое оборудование,Слесарь-ремонтник / механик,"Сборка и регулировка узлов, пусконаладка механики",Разряд 4–6,Опыт,слесарь-ремонтник; механик оборудования,нет данных — уточнить,
8. Полигон «хвостов» и площадки компостирования,Укладчик геосинтетических материалов,"Укладка геомембраны, геотекстиля, бентоматов, дренажных слоёв",Опыт на полигонах ТКО и накопителях,"Объекты, фото работ",укладка геомембраны; монтаж геомембраны; геосинтетика,нет данных — уточнить,Специфическая позиция — ищем бригады с опытом
8. Полигон «хвостов» и площадки компостирования,Сварщик геомембраны,"Сварка полотен (клиновая, экструзионная), контроль швов",Опыт; обучение у производителя/поставщика (часто требует заказчик),"Опыт, протоколы испытаний швов",сварщик геомембраны; экструзионная сварка,нет данных — уточнить,Чьё сварочное оборудование
"9. Дороги, площадки, благоустройство",Дорожный рабочий / асфальтобетонщик,"Основания, укладка асфальта, бордюров",Опыт дорожных работ,Опыт,дорожный рабочий; асфальтобетонщик; укладчик асфальта,нет данных — уточнить,
"9. Дороги, площадки, благоустройство",Машинист асфальтоукладчика / автогрейдера,"Укладка асфальта, профилирование",Удостоверение тракториста-машиниста нужной категории,Опыт,машинист асфальтоукладчика; машинист автогрейдера,нет данных — уточнить,Обычно дорожный субподрядчик с техникой
"9. Дороги, площадки, благоустройство",Монтажник ограждений,"Забор, ворота, шлагбаумы",Опыт; навыки сварки,Опыт,монтажник заборов; монтаж ограждений,нет данных — уточнить,
10. ИТР и обслуживание,Прораб / мастер СМР,"Организация работ на участке, контроль бригад, исполнительная документация","Профильное образование, опыт на промышленных объектах; обучение по охране труда, при необходимости — аттестации по промбезопасности и электробезопасности","Резюме, рекомендации",прораб; мастер СМР; производитель работ,нет данных — уточнить,
10. ИТР и обслуживание,Инженер ПТО,"Исполнительная документация, объёмы, акты выполненных работ",Опыт ПТО на промышленных объектах,Резюме,инженер ПТО,нет данных — уточнить,
10. ИТР и обслуживание,Специалист по охране труда,"Инструктажи, контроль охраны труда на площадке",Профильное обучение по охране труда,Резюме,специалист по охране труда; инженер ОТиТБ,нет данных — уточнить,
10. ИТР и обслуживание,Кладовщик / снабженец,"Приёмка и выдача материалов и инструмента, учёт",Опыт на стройке,Резюме,кладовщик на стройку; снабженец строительство,нет данных — уточнить,
10. ИТР и обслуживание,Водитель вахтового автобуса / микроавтобуса,Доставка рабочих до объекта,Права кат. «D» или «D1» (если больше 8 пассажирских мест),"Права, стаж",водитель вахтового автобуса,нет данных — уточнить,
10. ИТР и обслуживание,Охранник,"Пропускной режим, охрана площадки",Удостоверение частного охранника; обычно через ЧОП,—,охранник на стройку,нет данных — уточнить,Охрана своя или через ЧОП
